Acronym,Definition,Meaning,Department,Team/Area
100PS,100 Parliament Street,London office home to HMRC and DCMS. Part of Government Offices Great George Street (GOGGS).,Civil Service Wide,Office
10DS,10 Downing Street - Data Science,A dedicated Data Science team in 10 Downing Street ,No 10,10DS
10SC,10 South Colonnade,Government building in Canary Wharf,Civil Service Wide,Multiple
1HGR,1 Horse Guards Road,"London office home to HMT, CO, CCS. Part of Government Offices Great George Street (GOGGS).",Civil Service Wide,Office
1LS/2LS/3LS,"1st, 2nd or 3rd Line Support","Used in IT Incident Management - The first line of support provides basic / common assistance; for more complex tasks, there is the second line of support; and for external services or highly technology-specific issues, there is the third line of support.",Not Limited to CS,IT Support
1VS,1 Victoria Street ,BEIS HQ,BEIS,Department Wide
2MS,2 Marsham Street,"Government Offices, Home to Defra, MHCLG and Home Office",Civil Service Wide,
2SPS,2 St. Peter's Square,Government office in Manchester housing several departments. ,Civil Service Wide,
39VS,39 Victoria Street,DHSC's London HQ,DHSC,Department Wide
3GW,3 Glass Wharf,Government office in Bristol housing several departments. Building operated by HMRC.,Civil Service Wide,
5 out of 5,5 data checks,"Data checks carried out : name, date of birth, gender, postcode, address.",Civil Service Wide,
5is,"USA, UK, Canada, Australia, New zealand",5 Anglo SAXON COUNTRIES THAT cooperate closely on security and other matters,FCO,
70WH,70 Whitehall,Cabinet Office HQ,Cabinet Office,
A&O,Accommodation and Occupancy (also known as AO),"An table of data, extracted from the NOMIS database providing a row per prisoner, including basic personal details and their location",,
A2J,Access to Justice,,MoJ,
AA,Administrative Assistants,in context of PVB,,
AA (civil service grade),Administrative Assistants,,Civil Service Wide,
AAC,Administrative Appeals Court,,MoJ,
AACS,ea,,DfE,
AAETO,Association of Adult Education and Training Organisations,HOLEX is a trading name of the Association of Adult Education and Training Organisations (AAETO). Source: {HOLEX website|https://holex.org.uk/} accessed 2019-08-06,DfE,
AAN (admissions),Approved Admission Numbers,ro,DfE,
AAN (apprenticeships),Apprenticeship Ambassador Network,Launched April 2006 to champion Apprenticeships to employers of all sizes with the aim is to grow the Apprenticeships programme by engaging new employers through business to business promotion.Source: Apprenticeships website as at 2014-07-22 Source: {GOV.UK|https://www.gov.uk/government/groups/apprenticeship-ambassador-network} accessed 2018-01-17,DfE,
AAR,After Action Review,,DfE,
AAS,Aimhigher Associates Scheme,The idea of the Aimhigher Associates Scheme is to promote progression by learners from state schools to the full range of higher education provision on offer. Undergraduates from a state school background will provide support and encouragement to learners as they encounter the various transition milestones between Year 9 and Year 13 and they will receive training to help them in this role.,DfE,
AASSH,Association of Anglican Secondary School Heads,"The Association of Anglican Secondary School Heads (AASSH) provides support and professional development for members, and a forum to discuss and respond to local and national Christian education.Source: The Knowledge 2019-02-06",DfE,
AAT,Achievement and Attainment Tables,,DfE,
AB ,Appellate Body,The Appellate Body is standing body that hears trade dispute appeals. ,DBT,
